USERID,"ID: Newspaper reading, total time on average weekday","Newspaper reading, total time on average weekday",ID: Personal use of internet/e-mail/www,Personal use of internet/e-mail/www,"ID: How often socially meet with friends, relatives or colleagues","How often socially meet with friends, relatives or colleagues",ID: Gender,Gender,"Age of respondent, calculated",ID: Highest level of education,Highest level of education,ID: Employment relation,Employment relation,ID: Occupation,Occupation,ID: Important to try new and different things in life,Important to try new and different things in life,ID: Important to do what is told and follow rules,Important to do what is told and follow rules,ID: Important to understand different people,Important to understand different people,ID:Important to make own decisions and be free,Important to make own decisions and be free,ID: Important to be successful and that people recognize achievements,Important to be successful and that people recognize achievements,ID: Important to seek adventures and have an exciting life,Important to seek adventures and have an exciting life,ID: Important to behave properly,Important to behave properly,ID: Important to get respect from others,Important to get respect from others,ID: Important to care for nature and environment,Important to care for nature and environment,ID: Important to follow traditions and customs,Important to follow traditions and customs,ID: Hard to be hopeful about the future of the world,Hard to be hopeful about the future of the world,ID: Feel close to the people in local area,Feel close to the people in local area
1-51,1,"Less than 0,5 hour",1,Never use,1,Never,2,Female,73,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-52,1,"Less than 0,5 hour",1,Never use,1,Never,2,Female,40,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,2,Like me,2,Like me,,,,
1-53,0,No time at all,1,Never use,6,Several times a week,1,Male,26,3,Upper secondary education completed (ISCED 3),1,Employee,7132,Floor layers and tile setters,1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,,,,
1-54,6,"More than 2,5 hours, up to 3 hours",6,Several times a week,6,Several times a week,1,Male,20,3,Upper secondary education completed (ISCED 3),1,Employee,8324,Heavy truck and lorry drivers,1,Very much like me,5,Not like me,3,Somewhat like me,1,Very much like me,4,A little like me,1,Very much like me,5,Not like me,4,A little like me,1,Very much like me,5,Not like me,,,,
1-55,2,"0,5 hour to 1 hour",7,Every day,5,Once a week,2,Female,39,5,Tertiary education completed (ISCED 5-6),1,Employee,2431,Archivists and curators,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,5,Not like me,5,Not like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,,,,
1-56,2,"0,5 hour to 1 hour",6,Several times a week,7,Every day,2,Female,24,3,Upper secondary education completed (ISCED 3),1,Employee,5123,"Waiters, waitresses and bartenders",2,Like me,6,Not like me at all,2,Like me,2,Like me,4,A little like me,2,Like me,5,Not like me,3,Somewhat like me,1,Very much like me,5,Not like me,,,,
1-57,3,"More than 1 hour, up to 1,5 hours",7,Every day,3,Once a month,2,Female,27,5,Tertiary education completed (ISCED 5-6),1,Employee,2412,Personnel and careers professionals,1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,4,A little like me,,,,
1-58,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,1,Male,30,5,Tertiary education completed (ISCED 5-6),1,Employee,2149,"Arch, engin,rel prof not elsewhere class",3,Somewhat like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,4,A little like me,2,Like me,4,A little like me,,,,
1-59,1,"Less than 0,5 hour",1,Never use,5,Once a week,2,Female,46,2,Lower secondary education completed (ISCED 2),1,Employee,8290,Other machine operat not else class,2,Like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
1-60,1,"Less than 0,5 hour",0,No access at home or work,6,Several times a week,1,Male,42,3,Upper secondary education completed (ISCED 3),1,Employee,7136,Plumbers and pipe fitters,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,4,A little like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,,,,
1-61,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,1,Male,35,3,Upper secondary education completed (ISCED 3),1,Employee,3415,Technical and commercial sales rep,5,Not like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,,,,
1-62,2,"0,5 hour to 1 hour",0,No access at home or work,6,Several times a week,1,Male,45,3,Upper secondary education completed (ISCED 3),1,Employee,7233,Agric- or industrmachine mechanic and fitter,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-63,0,No time at all,1,Never use,6,Several times a week,1,Male,30,3,Upper secondary education completed (ISCED 3),2,Self-employed,8324,Heavy truck and lorry drivers,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,,,,
1-64,1,"Less than 0,5 hour",1,Never use,5,Once a week,1,Male,47,3,Upper secondary education completed (ISCED 3),1,Employee,7233,Agric- or industrmachine mechanic and fitter,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,,,,
1-65,1,"Less than 0,5 hour",7,Every day,5,Once a week,1,Male,35,3,Upper secondary education completed (ISCED 3),1,Employee,3115,Mechanical engineering technicians,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,,,,
1-66,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,2,Female,30,3,Upper secondary education completed (ISCED 3),1,Employee,3415,Technical and commercial sales rep,2,Like me,3,Somewhat like me,2,Like me,2,Like me,4,A little like me,5,Not like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,,,,
1-67,1,"Less than 0,5 hour",1,Never use,2,Less than once a month,1,Male,58,2,Lower secondary education completed (ISCED 2),1,Employee,7212,Welders and flamecutters,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,,,,
1-68,1,"Less than 0,5 hour",4,Several times a month,6,Several times a week,2,Female,33,5,Tertiary education completed (ISCED 5-6),1,Employee,2331,Primary education teaching professionals,5,Not like me,4,A little like me,2,Like me,2,Like me,5,Not like me,6,Not like me at all,4,A little like me,4,A little like me,3,Somewhat like me,1,Very much like me,,,,
1-69,1,"Less than 0,5 hour",0,No access at home or work,99,No answer,1,Male,73,99,No answer,1,Employee,99999,No answer,3,Somewhat like me,4,A little like me,4,A little like me,3,Somewhat like me,2,Like me,5,Not like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,,,,
1-70,0,No time at all,6,Several times a week,3,Once a month,1,Male,61,5,Tertiary education completed (ISCED 5-6),1,Employee,2149,"Arch, engin,rel prof not elsewhere class",5,Not like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,2,Like me,1,Very much like me,2,Like me,6,Not like me at all,,,,
1-71,3,"More than 1 hour, up to 1,5 hours",0,No access at home or work,3,Once a month,1,Male,72,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",3,Somewhat like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
1-72,2,"0,5 hour to 1 hour",2,Less than once a month,6,Several times a week,1,Male,39,5,Tertiary education completed (ISCED 5-6),1,Employee,3415,Technical and commercial sales rep,5,Not like me,2,Like me,3,Somewhat like me,4,A little like me,4,A little like me,4,A little like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,,,,
1-73,2,"0,5 hour to 1 hour",7,Every day,5,Once a week,1,Male,37,5,Tertiary education completed (ISCED 5-6),1,Employee,2310,"Coll,univ, higher educ teaching prof",2,Like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,5,Not like me,,,,
1-74,0,No time at all,1,Never use,3,Once a month,2,Female,80,1,Less than lower secondary education (ISCED 0-1),1,Employee,5122,Cooks,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,1,Very much like me,2,Like me,,,,
1-75,1,"Less than 0,5 hour",5,Once a week,6,Several times a week,2,Female,18,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,,,,
1-76,4,"More than 1,5 hours, up to 2 hours",5,Once a week,6,Several times a week,2,Female,23,3,Upper secondary education completed (ISCED 3),6,Not applicable,66666,Not applicable,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,4,A little like me,4,A little like me,1,Very much like me,3,Somewhat like me,,,,
1-77,1,"Less than 0,5 hour",7,Every day,4,Several times a month,2,Female,44,3,Upper secondary education completed (ISCED 3),1,Employee,3431,"Adm secretaries, related associate prof",2,Like me,2,Like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,2,Like me,,,,
1-78,1,"Less than 0,5 hour",7,Every day,4,Several times a month,1,Male,37,5,Tertiary education completed (ISCED 5-6),1,Employee,1235,Supply and distribution  managers,5,Not like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,5,Not like me,4,A little like me,3,Somewhat like me,4,A little like me,,,,
1-79,2,"0,5 hour to 1 hour",1,Never use,1,Never,1,Male,58,3,Upper secondary education completed (ISCED 3),1,Employee,7223,Machine-tool setters and setter-operators,5,Not like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,5,Not like me,2,Like me,4,A little like me,2,Like me,2,Like me,,,,
1-80,0,No time at all,1,Never use,99,No answer,1,Male,85,2,Lower secondary education completed (ISCED 2),1,Employee,4131,Stock clerks,,,,,,,,,,,,,,,,,,,,,,,,
1-81,2,"0,5 hour to 1 hour",7,Every day,7,Every day,1,Male,18,2,Lower secondary education completed (ISCED 2),1,Employee,9312,"Constr,mainten labour: roads,dams,sim constr",1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,,,,
